state,year,hay_alf_acres,alf_irrigated_acres,alf_non_irrigated_acres_harvested,hay_alf_tons,alf_irrigated_production_tons,non_irrigated_production,irrigation_share,hay_alfalfa_yield_tons_per_acre,alf_irrigated_yield_tons_per_acre,alf_non_irrigated_yield_tons_per_acre,haylage_acres,haylage_production,haylage_irrigated_acres,haylage_irrigated_ops
Kansas,2008,700000,NA,NA,2870000,NA,NA,NA,4.1,NA,NA,50000,250000,NA,NA
Kansas,2009,850000,NA,NA,3655000,NA,NA,NA,4.3,NA,NA,50000,375000,NA,NA
Kansas,2010,650000,NA,NA,2470000,NA,NA,NA,3.8,NA,NA,25000,183000,NA,NA
Kansas,2011,650000,NA,NA,1950000,NA,NA,NA,3,NA,NA,45000,315000,NA,NA
Kansas,2012,1183282,148385,1034897,3313838,NA,NA,0.12540121458790043,2.8,NA,NA,68814,460869,13128,34
Kansas,2013,550000,NA,NA,1925000,NA,NA,NA,3.5,NA,NA,16000,69000,NA,NA
Kansas,2014,600000,NA,NA,2280000,NA,NA,NA,3.8,NA,NA,65000,286000,NA,NA
Kansas,2015,650000,NA,NA,2470000,NA,NA,NA,3.8,NA,NA,60000,360000,NA,NA
Kansas,2016,700000,NA,NA,3010000,NA,NA,NA,4.3,NA,NA,30000,240000,NA,NA
Kansas,2017,1177483,131560,1045923,4201965,NA,NA,0.11172985087682795,3.6,NA,NA,65060,555363,14866,49
Kansas,2018,610000,NA,NA,2135000,NA,NA,NA,3.5,NA,NA,20000,120000,NA,NA
Kansas,2019,630000,NA,NA,2520000,NA,NA,NA,4,NA,NA,25000,188000,NA,NA
Kansas,2020,540000,NA,NA,1998000,NA,NA,NA,3.7,NA,NA,15000,80000,NA,NA
Kansas,2021,690000,NA,NA,2484000,NA,NA,NA,3.6,NA,NA,30000,168000,NA,NA
Kansas,2022,1244381,161925,1082456,3715957,NA,NA,0.13012493761958757,3.1,NA,NA,81006,481439,21170,94
Kansas,2023,735000,NA,NA,2242000,NA,NA,NA,3.05,NA,NA,15000,33000,NA,NA
Kansas,2024,580000,NA,NA,1537000,NA,NA,NA,2.65,NA,NA,25000,150000,NA,NA
Kansas,2025,490000,NA,NA,1764000,NA,NA,NA,3.6,NA,NA,30000,161000,NA,NA
Kentucky,2005,260000,NA,NA,832000,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA
Kentucky,2006,280000,NA,NA,1036000,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA
Kentucky,2007,549610,1210,548400,1028565,NA,NA,0.002201561,1.8,NA,NA,16366,44270,137,9
Kentucky,2008,240000,NA,NA,600000,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA
Kentucky,2009,220000,NA,NA,770000,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA
