statefp,stusps,year,speimean
28,MS,2005,0.13090183
28,MS,2006,-0.703924275
28,MS,2007,-1.587319585
28,MS,2008,0.261700262
28,MS,2009,0.686789053
28,MS,2010,-0.339063403
28,MS,2011,0.128604702
28,MS,2012,-1.039018768
28,MS,2013,0.412611857
28,MS,2014,0.39401682
28,MS,2015,0.451831115
28,MS,2016,-0.513287651
28,MS,2017,-0.030945803
28,MS,2018,0.738283719
28,MS,2019,0.783470414
28,MS,2022,0.590250727
28,MS,2023,-1.13234215
28,MS,2024,0.102421002
29,MO,2005,-0.599875444
29,MO,2006,-0.473118805
29,MO,2007,-0.13520371
29,MO,2008,1.241363332
29,MO,2009,0.771083536
29,MO,2010,0.437836788
29,MO,2011,0.011505657
29,MO,2012,-1.216558831
29,MO,2013,0.526658869
29,MO,2014,0.063240845
29,MO,2015,0.883079955
29,MO,2016,-0.028549747
29,MO,2017,0.603507294
29,MO,2018,-0.60801796
29,MO,2019,1.002484224
29,MO,2020,0.256066603
29,MO,2021,0.359136616
29,MO,2022,0.625702822
29,MO,2023,-0.671734355
29,MO,2024,0.054639438
29,MO,2025,-0.010285704
30,MT,2005,0.244775314
30,MT,2006,-0.546692668
30,MT,2007,-0.329297141
30,MT,2008,0.207169825
30,MT,2009,0.102143061
30,MT,2010,0.682016027
30,MT,2011,0.936600715
30,MT,2012,-1.043405874
30,MT,2013,0.274008338
30,MT,2014,0.300202371
30,MT,2015,-0.630191838
30,MT,2016,-0.139561843
30,MT,2017,-0.954885064
30,MT,2018,0.364048994
30,MT,2019,0.646712777
30,MT,2020,-0.25780868
30,MT,2021,-1.240475661
30,MT,2022,0.671770603
30,MT,2023,0.00142909
30,MT,2024,-0.264211212
30,MT,2025,-0.313338165
31,NE,2005,0.121812307
31,NE,2006,-0.661950392
31,NE,2007,0.300025591
31,NE,2008,0.597752691
31,NE,2009,0.270032704
31,NE,2010,0.698672499
31,NE,2011,0.472269236
31,NE,2012,-1.940772577
31,NE,2013,0.12962339
31,NE,2014,0.377086461
31,NE,2015,0.32220174
31,NE,2016,0.314918316
31,NE,2017,-0.004203019
31,NE,2018,0.454711538
31,NE,2019,1.052322311
31,NE,2020,-0.69980085
31,NE,2021,-0.381458949
31,NE,2022,-0.850287649
31,NE,2023,-0.20848517
31,NE,2024,-0.03131033
31,NE,2025,0.095353433
32,NV,2005,0.060248029
32,NV,2006,-0.450244586
32,NV,2007,-1.432883337
32,NV,2008,-0.608444896
32,NV,2009,-0.22738097
32,NV,2010,0.319329944
32,NV,2011,0.731051877
32,NV,2012,-1.232457128
32,NV,2013,-1.168423013
32,NV,2014,-0.55734544
32,NV,2015,-0.257325024
32,NV,2016,-0.982811723
32,NV,2017,-0.607556094
32,NV,2018,-0.674902538
32,NV,2019,0.447180701
32,NV,2020,-1.212219994
32,NV,2021,-1.604230393
32,NV,2022,-1.154228264
32,NV,2023,0.465921414
32,NV,2024,-0.935445771
32,NV,2025,-1.093241304
33,NH,2005,0.549562841
33,NH,2006,1.024517586
33,NH,2007,0.548434857
33,NH,2008,1.144571184
33,NH,2009,0.837567452
33,NH,2010,-0.244923506
33,NH,2011,1.002030934
33,NH,2012,-0.310179514
33,NH,2013,0.582282023
33,NH,2014,0.760631061
33,NH,2015,-0.593478588
33,NH,2016,-1.230970142
33,NH,2017,0.60244917
33,NH,2018,0.262427567
33,NH,2019,0.155492165
33,NH,2020,-0.665012587
33,NH,2021,0.393997637
33,NH,2022,0.578479901
33,NH,2023,0.960975059
33,NH,2024,-0.006203064
33,NH,2025,-0.427383178
34,NJ,2005,-0.543055366
34,NJ,2006,-0.012526483
34,NJ,2007,0.054553743
34,NJ,2008,-0.290657105
34,NJ,2009,0.310004776
34,NJ,2010,-0.653320033
34,NJ,2011,1.232044021
34,NJ,2012,-0.908238915
