year,state,county,"HAY, ALFALFA - ACRES HARVESTED","HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE","HAY, ALFALFA, IRRIGATED - ACRES HARVESTED","HAY, ALFALFA, IRRIGATED - PRODUCTION, MEASURED IN TONS","HAY, ALFALFA, IRRIGATED - YIELD, MEASURED IN TONS / ACRE","HAY, ALFALFA, NON-IRRIGATED - ACRES HARVESTED","HAY, ALFALFA, NON-IRRIGATED - PRODUCTION, MEASURED IN TONS","HAY, ALFALFA, NON-IRRIGATED - YIELD, MEASURED IN TONS / ACRE",irr_share
2017,Alabama,Lauderdale,139,483,3.4748201438848922,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Lauderdale,250,555,2.22,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Lawrence,236,398,1.6864406779661016,NA,NA,NA,NA,NA,NA,NA
2012,Alabama,Lawrence,188,347,1.8457446808510638,NA,NA,NA,NA,NA,NA,NA
2017,Alabama,Lawrence,76,150,1.9736842105263157,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Lawrence,716,1405,1.9622905027932962,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Lee,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2012,Alabama,Lee,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2017,Alabama,Lee,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Lee,635,1540,2.425196850393701,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Limestone,241,285,1.1825726141078838,NA,NA,NA,NA,NA,NA,NA
2012,Alabama,Limestone,70,96,1.3714285714285714,NA,NA,NA,NA,NA,NA,NA
2017,Alabama,Limestone,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Limestone,260,379,1.4576923076923076,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Lowndes,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2012,Alabama,Lowndes,261,440,1.685823754789272,NA,NA,NA,NA,NA,NA,NA
2017,Alabama,Lowndes,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Lowndes,90,106,1.1777777777777778,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Macon,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2012,Alabama,Macon,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Macon,80,152,1.9,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Madison,418,432,1.0334928229665072,NA,NA,NA,NA,NA,NA,NA
2012,Alabama,Madison,172,315,1.8313953488372092,0,NA,NA,NA,NA,NA,0
2017,Alabama,Madison,96,238,2.4791666666666665,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Madison,470,590,1.2553191489361701,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Marengo,192,1138,5.927083333333333,NA,NA,NA,NA,NA,NA,NA
2012,Alabama,Marengo,64,70,1.09375,NA,NA,NA,NA,NA,NA,NA
2017,Alabama,Marengo,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Marengo,914,2602,2.8468271334792123,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Marion,55,72,1.309090909090909,NA,NA,NA,NA,NA,NA,NA
2012,Alabama,Marion,49,30,0.6122448979591837,NA,NA,NA,NA,NA,NA,NA
2022,Alabama,Marion,160,462,2.8875,NA,NA,NA,NA,NA,NA,NA
2007,Alabama,Marshall,162,425,2.623456790123457,6,NA,NA,NA,NA,NA,0.037037037037037035
2012,Alabama,Marshall,59,101,1.7118644067796611,NA,NA,NA,NA,NA,NA,NA
