year,state,county,"HAY, ALFALFA - ACRES HARVESTED","HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE","HAY, ALFALFA, IRRIGATED - ACRES HARVESTED","HAY, ALFALFA, IRRIGATED - PRODUCTION, MEASURED IN TONS","HAY, ALFALFA, IRRIGATED - YIELD, MEASURED IN TONS / ACRE","HAY, ALFALFA, NON-IRRIGATED - ACRES HARVESTED","HAY, ALFALFA, NON-IRRIGATED - PRODUCTION, MEASURED IN TONS","HAY, ALFALFA, NON-IRRIGATED - YIELD, MEASURED IN TONS / ACRE",irr_share
2010,Montana,Big Horn,50000,114000,2.3,NA,NA,NA,NA,NA,NA,NA
2011,Montana,Big Horn,58000,129000,2.2,NA,NA,NA,NA,NA,NA,NA
2012,Montana,Big Horn,77109,176340,2.7,13648,NA,NA,NA,NA,NA,0.1769962001841549
2013,Montana,Big Horn,44000,116000,2.65,NA,NA,NA,NA,NA,NA,NA
2014,Montana,Big Horn,46000,129500,2.8,NA,NA,NA,NA,NA,NA,NA
2015,Montana,Big Horn,38000,105000,2.75,NA,NA,NA,NA,NA,NA,NA
2016,Montana,Big Horn,43000,113000,2.65,NA,NA,NA,NA,NA,NA,NA
2017,Montana,Big Horn,92462,256252,3.4,18053,NA,NA,NA,NA,NA,0.1952477774653371
2018,Montana,Big Horn,47500,143700,3.05,NA,NA,NA,NA,NA,NA,NA
2022,Montana,Big Horn,54178,101305,1.8698549226623353,15494,NA,NA,NA,NA,NA,0.2859832404296947
2005,Montana,Blaine,46000,114000,2.5,30000,94000,3.1,16000,20000,1.3,0.6521739130434783
2006,Montana,Blaine,40000,82300,2.1,27000,72000,2.7,13000,10300,0.8,0.675
2007,Montana,Blaine,103439,268988,2.7,62582,100000,3.2,19000,33000,1.7,0.6050135828845986
2008,Montana,Blaine,51000,113500,2.25,29000,86000,2.95,22000,27500,1.25,0.5686274509803921
2009,Montana,Blaine,56000,124000,2.2,NA,NA,NA,NA,NA,NA,NA
2010,Montana,Blaine,59000,163000,2.75,NA,NA,NA,NA,NA,NA,NA
2011,Montana,Blaine,71000,155000,2.2,NA,NA,NA,NA,NA,NA,NA
2012,Montana,Blaine,115047,223078,1.95,20391,NA,NA,NA,NA,NA,0.1772406060131946
2013,Montana,Blaine,66000,180000,2.75,NA,NA,NA,NA,NA,NA,NA
2014,Montana,Blaine,58000,107500,1.85,NA,NA,NA,NA,NA,NA,NA
2015,Montana,Blaine,46500,81000,1.75,NA,NA,NA,NA,NA,NA,NA
2016,Montana,Blaine,59000,116000,1.95,NA,NA,NA,NA,NA,NA,NA
2017,Montana,Blaine,90321,156200,1.7,23481,NA,NA,NA,NA,NA,0.25997276380908096
2018,Montana,Blaine,50700,87800,1.75,NA,NA,NA,NA,NA,NA,NA
2022,Montana,Blaine,49946,76249,1.5266287590597845,27484,NA,NA,NA,NA,NA,0.5502742962399392
2005,Montana,Broadwater,29000,121000,4.2,28000,119000,4.3,1000,2000,2,0.9655172413793104
2006,Montana,Broadwater,26000,103200,4,25000,102000,4.1,1000,1200,1.2,0.9615384615384616
2007,Montana,Broadwater,41608,166074,4.1,18765,NA,NA,NA,NA,NA,0.4509950009613536
2008,Montana,Broadwater,19000,71400,3.75,18000,70000,3.9,1000,1400,1.4,0.9473684210526315
2009,Montana,Broadwater,21000,78000,3.7,NA,NA,NA,NA,NA,NA,NA
2010,Montana,Broadwater,26000,100000,3.85,NA,NA,NA,NA,NA,NA,NA
2011,Montana,Broadwater,21000,83000,3.95,NA,NA,NA,NA,NA,NA,NA
2012,Montana,Broadwater,50358,178991,3.75,22259,NA,NA,NA,NA,NA,0.44201517137296953
2013,Montana,Broadwater,19000,71500,3.75,NA,NA,NA,NA,NA,NA,NA
2014,Montana,Broadwater,24000,102000,4.25,NA,NA,NA,NA,NA,NA,NA
2015,Montana,Broadwater,20000,104000,5.2,NA,NA,NA,NA,NA,NA,NA
2016,Montana,Broadwater,24500,115000,4.7,NA,NA,NA,NA,NA,NA,NA
2017,Montana,Broadwater,47334,191451,4.5,23711,NA,NA,NA,NA,NA,0.5009295643723328
2018,Montana,Broadwater,21900,86600,3.95,NA,NA,NA,NA,NA,NA,NA
2022,Montana,Broadwater,24019,74010,3.0813106290853076,18247,NA,NA,NA,NA,NA,0.7596902452225321
2005,Montana,Carbon,30000,79000,2.6,19000,64000,3.4,11000,15000,1.4,0.6333333333333333
2006,Montana,Carbon,25000,70600,2.8,20500,69000,3.4,4500,1600,0.4,0.82
2007,Montana,Carbon,65963,166750,2.5,40083,62000,3.4,13000,17000,1.3,0.6076588390461319
2008,Montana,Carbon,31000,63500,2.05,17500,56000,3.2,13500,7500,0.55,0.5645161290322581
2009,Montana,Carbon,37000,108000,2.9,NA,NA,NA,NA,NA,NA,NA
2010,Montana,Carbon,35000,80000,2.3,NA,NA,NA,NA,NA,NA,NA
2011,Montana,Carbon,31000,95000,3.05,NA,NA,NA,NA,NA,NA,NA
2012,Montana,Carbon,43113,124290,3.05,17613,NA,NA,NA,NA,NA,0.40853106951499546
2013,Montana,Carbon,35000,78000,2.25,NA,NA,NA,NA,NA,NA,NA
2014,Montana,Carbon,43000,111000,2.6,NA,NA,NA,NA,NA,NA,NA
2015,Montana,Carbon,28500,86000,3,NA,NA,NA,NA,NA,NA,NA
2016,Montana,Carbon,28500,112000,3.95,NA,NA,NA,NA,NA,NA,NA
2017,Montana,Carbon,45333,119193,2.629276685857984,31850,NA,NA,NA,NA,NA,0.702578695
2018,Montana,Carbon,30100,88800,2.95,NA,NA,NA,NA,NA,NA,NA
2022,Montana,Carbon,28393,65983,2.323917867079914,20684,NA,NA,NA,NA,NA,0.7284894164054521
2005,Montana,Carter,41000,38200,0.9,500,2200,4.4,40500,36000,0.9,0.012195121951219513
2006,Montana,Carter,39000,37200,1,1000,2900,2.9,38000,34300,0.9,0.025641026
2007,Montana,Carter,131447,202019,1.6,5049,6900,2.3,60000,92000,1.5,0.038410918
2009,Montana,Carter,70000,127000,1.8,NA,NA,NA,NA,NA,NA,NA
2010,Montana,Carter,76000,137000,1.8,NA,NA,NA,NA,NA,NA,NA
2011,Montana,Carter,75000,147000,1.95,NA,NA,NA,NA,NA,NA,NA
2012,Montana,Carter,51480,43247,0.85,0,NA,NA,NA,NA,NA,0
2013,Montana,Carter,69000,100000,1.45,NA,NA,NA,NA,NA,NA,NA
2014,Montana,Carter,78500,130000,1.65,NA,NA,NA,NA,NA,NA,NA
2015,Montana,Carter,70500,87000,1.25,NA,NA,NA,NA,NA,NA,NA
2016,Montana,Carter,36500,27000,0.75,NA,NA,NA,NA,NA,NA,NA
2017,Montana,Carter,126323,104668,0.95,935,NA,NA,NA,NA,NA,0.007401661
2018,Montana,Carter,73000,92200,1.25,NA,NA,NA,NA,NA,NA,NA
2022,Montana,Carter,82008,112202,1.368183591844698,686,NA,NA,NA,NA,NA,0.008365038
2005,Montana,Cascade,89000,171000,1.9,21000,79000,3.8,68000,92000,1.4,0.23595505617977527
2006,Montana,Cascade,81000,142000,1.8,18000,63000,3.5,63000,79000,1.3,0.2222222222222222
2007,Montana,Cascade,128292,228943,1.8,28058,42000,3,49000,70000,1.4,0.21870420602999407
2008,Montana,Cascade,64000,98000,1.55,13000,44000,3.4,51000,54000,1.05,0.203125
2009,Montana,Cascade,73000,114000,1.55,NA,NA,NA,NA,NA,NA,NA
2010,Montana,Cascade,77000,172000,2.25,NA,NA,NA,NA,NA,NA,NA
2011,Montana,Cascade,68000,119000,1.75,NA,NA,NA,NA,NA,NA,NA
2012,Montana,Cascade,110575,154457,1.45,12868,NA,NA,NA,NA,NA,0.11637350214786345
2013,Montana,Cascade,45000,86000,1.9,NA,NA,NA,NA,NA,NA,NA
2014,Montana,Cascade,67000,106000,1.6,NA,NA,NA,NA,NA,NA,NA
2015,Montana,Cascade,60000,106000,1.75,NA,NA,NA,NA,NA,NA,NA
2016,Montana,Cascade,62000,145000,2.35,NA,NA,NA,NA,NA,NA,NA
2017,Montana,Cascade,129742,237173,1.75,14989,NA,NA,NA,NA,NA,0.11552928118882089
2022,Montana,Cascade,68673,92526,1.347341750032764,15162,NA,NA,NA,NA,NA,0.22078546153510112
2005,Montana,Chouteau,24000,50000,2.1,8500,32000,3.8,15500,18000,1.2,0.3541666666666667
2006,Montana,Chouteau,23000,36800,1.6,6000,20500,3.4,17000,16300,1,0.2608695652173913
2007,Montana,Chouteau,48519,87578,2,11573,22000,3.4,16500,23000,1.4,0.23852511387291578
2008,Montana,Chouteau,21000,33700,1.6,5000,16700,3.35,16000,17000,1.05,0.23809523809523808
2009,Montana,Chouteau,20000,29000,1.45,NA,NA,NA,NA,NA,NA,NA
2010,Montana,Chouteau,24000,50000,2.1,NA,NA,NA,NA,NA,NA,NA
2011,Montana,Chouteau,28000,51000,1.8,NA,NA,NA,NA,NA,NA,NA
2012,Montana,Chouteau,37594,58697,1.65,3865,NA,NA,NA,NA,NA,0.10280895887641645
2013,Montana,Chouteau,31000,54000,1.75,NA,NA,NA,NA,NA,NA,NA
2014,Montana,Chouteau,25500,27000,1.05,NA,NA,NA,NA,NA,NA,NA
2015,Montana,Chouteau,20500,28000,1.35,NA,NA,NA,NA,NA,NA,NA
2016,Montana,Chouteau,21000,28800,1.35,NA,NA,NA,NA,NA,NA,NA
2017,Montana,Chouteau,49865,77016,1.6,5130,NA,NA,NA,NA,NA,0.10287776997894314
2018,Montana,Chouteau,24200,35600,1.45,NA,NA,NA,NA,NA,NA,NA
2022,Montana,Chouteau,27413,31074,1.1335497756538868,9707,NA,NA,NA,NA,NA,0.3541020683617262
2005,Montana,Custer,51000,114000,2.2,19000,77000,4.1,32000,37000,1.2,0.37254901960784315
2006,Montana,Custer,46000,97700,2.1,17500,77000,4.4,28500,20700,0.7,0.3804347826086957
2007,Montana,Custer,83624,187104,2.3,29688,60000,4,27000,36000,1.3,0.3550176982684397
2008,Montana,Custer,37000,77000,2.1,16000,57000,3.55,21000,20000,0.95,0.43243243243243246
2009,Montana,Custer,39000,110000,2.8,NA,NA,NA,NA,NA,NA,NA
2010,Montana,Custer,49000,131000,2.65,NA,NA,NA,NA,NA,NA,NA
2011,Montana,Custer,48000,117000,2.45,NA,NA,NA,NA,NA,NA,NA
2012,Montana,Custer,56494,128414,2.35,15394,NA,NA,NA,NA,NA,0.2724891138882005
2013,Montana,Custer,50000,100000,2,NA,NA,NA,NA,NA,NA,NA
2014,Montana,Custer,52500,113000,2.15,NA,NA,NA,NA,NA,NA,NA
2015,Montana,Custer,44500,98000,2.2,NA,NA,NA,NA,NA,NA,NA
2016,Montana,Custer,46000,146000,3.15,NA,NA,NA,NA,NA,NA,NA
2017,Montana,Custer,74519,181245,2.55,15434,NA,NA,NA,NA,NA,0.20711496396892068
2018,Montana,Custer,46000,125700,2.75,NA,NA,NA,NA,NA,NA,NA
2022,Montana,Custer,51649,116963,2.264574338322136,16877,NA,NA,NA,NA,NA,0.3267633448856706
2005,Montana,Daniels,10000,10100,1,500,1600,3.2,9500,8500,0.9,0.05
2006,Montana,Daniels,8000,7700,1,1000,2400,2.4,7000,5300,0.8,0.125
2007,Montana,Daniels,34602,47911,1.4,1057,NA,NA,NA,NA,NA,0.030547367
2009,Montana,Daniels,23000,26000,1.15,NA,NA,NA,NA,NA,NA,NA
2010,Montana,Daniels,19000,33000,1.75,NA,NA,NA,NA,NA,NA,NA
2011,Montana,Daniels,30000,59000,1.95,NA,NA,NA,NA,NA,NA,NA
2012,Montana,Daniels,40507,54097,1.5,0,NA,NA,NA,NA,NA,0
2013,Montana,Daniels,20000,31500,1.6,NA,NA,NA,NA,NA,NA,NA
2014,Montana,Daniels,23500,28000,1.2,NA,NA,NA,NA,NA,NA,NA
2015,Montana,Daniels,25000,24000,0.95,NA,NA,NA,NA,NA,NA,NA
2016,Montana,Daniels,20000,47000,2.35,NA,NA,NA,NA,NA,NA,NA
2017,Montana,Daniels,27701,17120,0.6180282300277968,0,NA,NA,NA,NA,NA,0
2018,Montana,Daniels,28000,22300,0.8,NA,NA,NA,NA,NA,NA,NA
2022,Montana,Daniels,24734,18522,0.7488477399531009,NA,NA,NA,NA,NA,NA,NA
2005,Montana,Dawson,15500,30000,1.9,3000,14000,4.7,12500,16000,1.3,0.1935483870967742
2006,Montana,Dawson,13000,22800,1.8,3000,12500,4.2,10000,10300,1,0.23076923076923078
2007,Montana,Dawson,55735,105018,2,10658,22000,4,20500,29000,1.4,0.19122633892527138
2008,Montana,Dawson,28000,39000,1.4,5500,22000,4,22500,17000,0.75,0.19642857142857142
2009,Montana,Dawson,27000,47000,1.75,NA,NA,NA,NA,NA,NA,NA
2010,Montana,Dawson,31000,70000,2.25,NA,NA,NA,NA,NA,NA,NA
2011,Montana,Dawson,33000,63000,1.9,NA,NA,NA,NA,NA,NA,NA
2012,Montana,Dawson,14037,22142,1.577402578898625,2880,NA,NA,NA,NA,NA,0.20517204530882668
2013,Montana,Dawson,29000,50000,1.7,NA,NA,NA,NA,NA,NA,NA
2014,Montana,Dawson,44500,79000,1.8,NA,NA,NA,NA,NA,NA,NA
2015,Montana,Dawson,30000,46000,1.55,NA,NA,NA,NA,NA,NA,NA
2016,Montana,Dawson,27000,49000,1.8,NA,NA,NA,NA,NA,NA,NA
2017,Montana,Dawson,15857,31763,2.0030901179289904,6813,NA,NA,NA,NA,NA,0.4296525193920666
2022,Montana,Dawson,22948,40310,1.7565800941258498,4606,NA,NA,NA,NA,NA,0.2007146592295625
2005,Montana,Deer Lodge,4000,12000,3,4000,12000,3,NA,NA,NA,1
2006,Montana,Deer Lodge,4000,12600,3.2,4000,12600,3.2,NA,NA,NA,1
2007,Montana,Deer Lodge,8150,26459,3.3,8056,13000,3.3,NA,NA,NA,0.9884662576687117
2009,Montana,Deer Lodge,4000,15000,3.75,NA,NA,NA,NA,NA,NA,NA
2010,Montana,Deer Lodge,3300,11000,3.35,NA,NA,NA,NA,NA,NA,NA
2011,Montana,Deer Lodge,5500,16000,2.9,NA,NA,NA,NA,NA,NA,NA
2012,Montana,Deer Lodge,8164,28216,3.4,0,NA,NA,NA,NA,NA,0
2013,Montana,Deer Lodge,6000,19000,3.15,NA,NA,NA,NA,NA,NA,NA
2014,Montana,Deer Lodge,6500,18000,2.75,NA,NA,NA,NA,NA,NA,NA
2015,Montana,Deer Lodge,4300,15000,3.5,NA,NA,NA,NA,NA,NA,NA
2016,Montana,Deer Lodge,5400,18000,3.35,NA,NA,NA,NA,NA,NA,NA
2017,Montana,Deer Lodge,9836,32734,3.7,0,NA,NA,NA,NA,NA,0
2018,Montana,Deer Lodge,4200,14000,3.35,NA,NA,NA,NA,NA,NA,NA
2022,Montana,Deer Lodge,3166,9571,3.0230574857864814,3166,NA,NA,NA,NA,NA,1
2005,Montana,Fallon,40000,51300,1.3,NA,NA,NA,39500,50000,1.3,NA
2006,Montana,Fallon,36000,29800,0.8,1000,2800,2.8,35000,27000,0.8,0.027777777777777776
2007,Montana,Fallon,137050,163980,1.3,2456,3600,3.6,63000,77000,1.2,0.017920466982852972
2008,Montana,Fallon,66000,63000,0.95,NA,NA,NA,66000,63000,0.95,NA
2009,Montana,Fallon,67000,92000,1.35,NA,NA,NA,NA,NA,NA,NA
2010,Montana,Fallon,77000,117000,1.5,NA,NA,NA,NA,NA,NA,NA
2011,Montana,Fallon,80000,147000,1.85,NA,NA,NA,NA,NA,NA,NA
2012,Montana,Fallon,71093,58999,0.75,769,NA,NA,NA,NA,NA,0.010816817408183646
2013,Montana,Fallon,68000,117000,1.7,NA,NA,NA,NA,NA,NA,NA
2014,Montana,Fallon,64000,93000,1.45,NA,NA,NA,NA,NA,NA,NA
2015,Montana,Fallon,72000,61000,0.85,NA,NA,NA,NA,NA,NA,NA
2016,Montana,Fallon,65500,49500,0.75,NA,NA,NA,NA,NA,NA,NA
2017,Montana,Fallon,41400,30651,0.7403623188405797,0,NA,NA,NA,NA,NA,0
2018,Montana,Fallon,67000,74100,1.1,NA,NA,NA,NA,NA,NA,NA
2022,Montana,Fallon,72105,106112,1.4716316482906873,0,NA,NA,NA,NA,NA,0
2005,Montana,Fergus,170000,230000,1.4,10000,30000,3,160000,200000,1.3,0.058823529411764705
2006,Montana,Fergus,153000,211000,1.4,21000,58000,2.8,132000,153000,1.2,0.13725490196078433
2007,Montana,Fergus,294137,490997,1.7,30176,35000,2.3,121000,191000,1.6,0.1025916494694649
2008,Montana,Fergus,138000,171000,1.25,11000,23000,2.1,127000,148000,1.15,0.079710145
2009,Montana,Fergus,142000,209000,1.45,NA,NA,NA,NA,NA,NA,NA
2010,Montana,Fergus,163000,331000,2.05,NA,NA,NA,NA,NA,NA,NA
2011,Montana,Fergus,172000,321000,1.85,NA,NA,NA,NA,NA,NA,NA
2012,Montana,Fergus,273095,353858,1.4,8256,NA,NA,NA,NA,NA,0.030231238
2013,Montana,Fergus,138000,239000,1.75,NA,NA,NA,NA,NA,NA,NA
2014,Montana,Fergus,116000,147000,1.25,NA,NA,NA,NA,NA,NA,NA
2015,Montana,Fergus,139000,268000,1.95,NA,NA,NA,NA,NA,NA,NA
2016,Montana,Fergus,151500,218000,1.45,NA,NA,NA,NA,NA,NA,NA
2017,Montana,Fergus,316105,421742,1.4,11819,NA,NA,NA,NA,NA,0.037389475
2018,Montana,Fergus,171000,282000,1.65,NA,NA,NA,NA,NA,NA,NA
2022,Montana,Fergus,167927,183913,1.0951961268884693,16092,NA,NA,NA,NA,NA,0.095827354
2005,Montana,Flathead,15000,47500,3.2,7000,26200,3.7,8000,21300,2.7,0.4666666666666667
2006,Montana,Flathead,13000,41200,3.2,6500,25700,4,6500,15500,2.4,0.5
2007,Montana,Flathead,36783,102686,2.9,15916,31000,3.6,9500,21200,2.2,0.43269988853546476
2008,Montana,Flathead,10000,27600,2.75,NA,NA,NA,NA,NA,NA,NA
2009,Montana,Flathead,10000,27000,2.7,NA,NA,NA,NA,NA,NA,NA
2010,Montana,Flathead,11000,36000,3.25,NA,NA,NA,NA,NA,NA,NA
2011,Montana,Flathead,12000,36000,3,NA,NA,NA,NA,NA,NA,NA
2012,Montana,Flathead,28204,81713,3.3,4822,NA,NA,NA,NA,NA,0.17096865692809532
2013,Montana,Flathead,16000,44000,2.75,NA,NA,NA,NA,NA,NA,NA
2014,Montana,Flathead,16500,42000,2.55,NA,NA,NA,NA,NA,NA,NA
2015,Montana,Flathead,10000,25000,2.5,NA,NA,NA,NA,NA,NA,NA
2016,Montana,Flathead,15500,46800,3,NA,NA,NA,NA,NA,NA,NA
2017,Montana,Flathead,38808,108550,3.2,7723,NA,NA,NA,NA,NA,0.19900535971964545
2018,Montana,Flathead,15400,32500,2.1,NA,NA,NA,NA,NA,NA,NA
2022,Montana,Flathead,19183,46190,2.4078611270395665,7352,NA,NA,NA,NA,NA,0.3832560079236824
2005,Montana,Gallatin,75000,277500,3.7,61000,253000,4.1,14000,24500,1.8,0.8133333333333334
2006,Montana,Gallatin,68000,259000,3.8,56000,238000,4.3,12000,21000,1.8,0.8235294117647058
2007,Montana,Gallatin,106242,316592,3.2,69121,142000,3.6,13000,24000,1.8,0.6505995745562019
2008,Montana,Gallatin,39000,144300,3.7,31000,129000,4.15,8000,15300,1.9,0.7948717948717948
2009,Montana,Gallatin,41000,144000,3.5,NA,NA,NA,NA,NA,NA,NA
2010,Montana,Gallatin,41000,145000,3.55,NA,NA,NA,NA,NA,NA,NA
2011,Montana,Gallatin,42000,144000,3.45,NA,NA,NA,NA,NA,NA,NA
2012,Montana,Gallatin,82399,260755,3.55,29551,NA,NA,NA,NA,NA,0.35863299311884855
2013,Montana,Gallatin,37000,131000,3.55,NA,NA,NA,NA,NA,NA,NA
2014,Montana,Gallatin,42000,150000,3.55,NA,NA,NA,NA,NA,NA,NA
2016,Montana,Gallatin,38000,124000,3.25,NA,NA,NA,NA,NA,NA,NA
2017,Montana,Gallatin,43825,148374,3.3856018254420994,32341,NA,NA,NA,NA,NA,0.7379577866514546
2018,Montana,Gallatin,38800,138000,3.55,NA,NA,NA,NA,NA,NA,NA
2022,Montana,Gallatin,52598,159974,3.0414464428305257,36882,NA,NA,NA,NA,NA,0.7012053690254382
2005,Montana,Garfield,16500,22700,1.4,1500,3700,2.5,15000,19000,1.3,0.090909091
2006,Montana,Garfield,11000,10200,0.9,1500,3500,2.3,9500,6700,0.7,0.13636363636363635
2007,Montana,Garfield,61927,73704,1.2,2537,NA,NA,NA,NA,NA,0.040967591
2008,Montana,Garfield,31000,39200,1.25,NA,NA,NA,NA,NA,NA,NA
2009,Montana,Garfield,33000,31000,0.95,NA,NA,NA,NA,NA,NA,NA
2010,Montana,Garfield,40000,54000,1.35,NA,NA,NA,NA,NA,NA,NA
2011,Montana,Garfield,40000,63000,1.6,NA,NA,NA,NA,NA,NA,NA
2012,Montana,Garfield,62911,65548,1.05,0,NA,NA,NA,NA,NA,0
2013,Montana,Garfield,49000,77000,1.55,NA,NA,NA,NA,NA,NA,NA
2014,Montana,Garfield,36000,26500,0.75,NA,NA,NA,NA,NA,NA,NA
2015,Montana,Garfield,40000,32000,0.8,NA,NA,NA,NA,NA,NA,NA
2016,Montana,Garfield,35000,37000,1.05,NA,NA,NA,NA,NA,NA,NA
2017,Montana,Garfield,45518,42869,0.75,2374,NA,NA,NA,NA,NA,0.052155191
2018,Montana,Garfield,42000,47800,1.15,NA,NA,NA,NA,NA,NA,NA
2022,Montana,Garfield,30225,27916,0.9236062861869313,0,NA,NA,NA,NA,NA,0
2005,Montana,Glacier,26000,56000,2.2,5000,19000,3.8,21000,37000,1.8,0.19230769230769232
2006,Montana,Glacier,23000,49400,2.1,9500,31000,3.3,13500,18400,1.4,0.41304347826086957
2007,Montana,Glacier,52397,84795,1.6,23349,24000,2.3,13500,15000,1.1,0.4456171154837109
2008,Montana,Glacier,26000,44700,1.7,7000,19700,2.8,19000,25000,1.3,0.2692307692307692
2009,Montana,Glacier,26000,52000,2,NA,NA,NA,NA,NA,NA,NA
2010,Montana,Glacier,31000,65000,2.1,NA,NA,NA,NA,NA,NA,NA
2011,Montana,Glacier,30000,54000,1.8,NA,NA,NA,NA,NA,NA,NA
2012,Montana,Glacier,60563,94804,1.7,13304,NA,NA,NA,NA,NA,0.21967207701071612
2013,Montana,Glacier,37000,66000,1.8,NA,NA,NA,NA,NA,NA,NA
2014,Montana,Glacier,30500,53500,1.75,NA,NA,NA,NA,NA,NA,NA
2015,Montana,Glacier,32500,46000,1.4,NA,NA,NA,NA,NA,NA,NA
2016,Montana,Glacier,31000,51000,1.65,NA,NA,NA,NA,NA,NA,NA
2017,Montana,Glacier,61586,98456,1.65,10472,NA,NA,NA,NA,NA,0.17003864514662423
2018,Montana,Glacier,31200,62600,2,NA,NA,NA,NA,NA,NA,NA
2022,Montana,Glacier,21706,32735,1.5081083571362757,7892,NA,NA,NA,NA,NA,0.3635861052243619
2005,Montana,Golden Valley,17500,24800,1.4,3000,9300,3.1,14500,15500,1.1,0.17142857142857143
2006,Montana,Golden Valley,14000,15000,1.1,2500,8500,3.4,11500,6500,0.6,0.17857142857142858
2007,Montana,Golden Valley,42207,62268,1.5,10760,17000,2.8,15000,14000,0.9,0.25493401568460206
2008,Montana,Golden Valley,23000,27800,1.2,NA,NA,NA,NA,NA,NA,NA
2009,Montana,Golden Valley,22000,35000,1.6,NA,NA,NA,NA,NA,NA,NA
2010,Montana,Golden Valley,31000,43000,1.4,NA,NA,NA,NA,NA,NA,NA
2011,Montana,Golden Valley,38000,49000,1.3,NA,NA,NA,NA,NA,NA,NA
2012,Montana,Golden Valley,29072,49776,1.65,4588,NA,NA,NA,NA,NA,0.1578150798018712
2013,Montana,Golden Valley,15000,36000,2.4,NA,NA,NA,NA,NA,NA,NA
2014,Montana,Golden Valley,25500,38000,1.5,NA,NA,NA,NA,NA,NA,NA
2015,Montana,Golden Valley,17000,24000,1.4,NA,NA,NA,NA,NA,NA,NA
2016,Montana,Golden Valley,17000,35500,2.1,NA,NA,NA,NA,NA,NA,NA
2017,Montana,Golden Valley,46173,75095,2,4824,NA,NA,NA,NA,NA,0.1044766421934897
2022,Montana,Golden Valley,17083,29562,1.7304923022888252,4323,NA,NA,NA,NA,NA,0.253058596
2005,Montana,Granite,8000,24400,3.1,8000,24400,3.1,NA,NA,NA,1
2006,Montana,Granite,7500,23500,3.1,7000,23000,3.3,500,500,1,0.9333333333333333
2007,Montana,Granite,17720,55582,3.2,15180,26000,3.3,1000,2600,2.6,0.8566591422121896
2008,Montana,Granite,9000,29500,3.3,NA,NA,NA,NA,NA,NA,NA
2009,Montana,Granite,8500,23000,2.7,NA,NA,NA,NA,NA,NA,NA
2010,Montana,Granite,7500,22500,3,NA,NA,NA,NA,NA,NA,NA
2011,Montana,Granite,8000,24000,3,NA,NA,NA,NA,NA,NA,NA
2012,Montana,Granite,15438,38380,2.45,0,NA,NA,NA,NA,NA,0
2013,Montana,Granite,10000,29000,2.9,NA,NA,NA,NA,NA,NA,NA
2014,Montana,Granite,9500,26000,2.75,NA,NA,NA,NA,NA,NA,NA
2015,Montana,Granite,7900,18000,2.3,NA,NA,NA,NA,NA,NA,NA
2016,Montana,Granite,8000,24600,3.1,NA,NA,NA,NA,NA,NA,NA
2017,Montana,Granite,17867,55880,3.25,0,NA,NA,NA,NA,NA,0
2018,Montana,Granite,6700,23200,3.45,NA,NA,NA,NA,NA,NA,NA
2022,Montana,Granite,8348,23447,2.8086966938188787,0,NA,NA,NA,NA,NA,0
2005,Montana,Hill,8000,12300,1.5,2000,5800,2.9,6000,6500,1.1,0.25
2006,Montana,Hill,7500,9200,1.2,1500,5800,3.9,6000,3400,0.6,0.2
2007,Montana,Hill,25796,44359,1.7,6886,7500,3,9500,12500,1.3,0.2669406109474337
2008,Montana,Hill,8000,9800,1.25,1500,4800,3.2,6500,5000,0.75,0.1875
2009,Montana,Hill,9000,9000,1,NA,NA,NA,NA,NA,NA,NA
2010,Montana,Hill,13000,22000,1.7,NA,NA,NA,NA,NA,NA,NA
2011,Montana,Hill,15000,28000,1.85,NA,NA,NA,NA,NA,NA,NA
2012,Montana,Hill,34886,48673,1.55,5237,NA,NA,NA,NA,NA,0.15011752565499054
2013,Montana,Hill,28000,41500,1.5,NA,NA,NA,NA,NA,NA,NA
2014,Montana,Hill,20500,28500,1.4,NA,NA,NA,NA,NA,NA,NA
2015,Montana,Hill,13000,19000,1.45,NA,NA,NA,NA,NA,NA,NA
2016,Montana,Hill,14000,22000,1.55,NA,NA,NA,NA,NA,NA,NA
2017,Montana,Hill,35464,43716,1.45,1781,NA,NA,NA,NA,NA,0.050219941348973604
2022,Montana,Hill,11822,13111,1.109034004398579,2352,NA,NA,NA,NA,NA,0.19895110810353578
2005,Montana,Jefferson,15000,43000,2.9,13500,40000,3,1500,3000,2,0.9
2006,Montana,Jefferson,13500,42700,3.2,12500,41000,3.3,1000,1700,1.7,0.9259259259259259
2007,Montana,Jefferson,27747,85664,3.2,25352,42000,3.2,1000,2500,2.5,0.9136843622733989
2008,Montana,Jefferson,12000,37000,3.1,NA,NA,NA,NA,NA,NA,NA
2009,Montana,Jefferson,13500,40000,2.95,NA,NA,NA,NA,NA,NA,NA
2010,Montana,Jefferson,13500,41000,3.05,NA,NA,NA,NA,NA,NA,NA
2011,Montana,Jefferson,14000,46500,3.3,NA,NA,NA,NA,NA,NA,NA
2012,Montana,Jefferson,24721,76245,3.35,0,NA,NA,NA,NA,NA,0
2013,Montana,Jefferson,12000,36000,3,NA,NA,NA,NA,NA,NA,NA
2014,Montana,Jefferson,13000,40500,3.1,NA,NA,NA,NA,NA,NA,NA
2015,Montana,Jefferson,10000,41000,4.1,NA,NA,NA,NA,NA,NA,NA
2016,Montana,Jefferson,11000,35000,3.2,NA,NA,NA,NA,NA,NA,NA
